start,end,size
00000000000000,02121001271099,19442
02121001271100,02241050211087,19442
02241050211088,03043030340000,19442
03043030340001,03174030070000,19442
03174030070001,03292010200000,19442
03292010200001,04082000241034,19442
04082000241035,04262020401011,19442
04262020401012,05202180201001,19442
05202180201002,06061160230000,19442
06061160230001,06251030590000,19442
06251030590001,07094020240000,19442
07094020240001,07232060050000,19442
07232060050001,07353111170000,19442
07353111170001,08152020620000,19442
08152020620001,09103010721029,19442
09103010721030,09174230291046,19442
09174230291047,09272000531050,19442
09272000531051,10104140220000,19442
10104140220001,10192020150000,19442
10192020150001,10261040280000,19442
10261040280001,10361000181087,19442
10361000181088,11302000361031,19442
11302000361032,12033020170000,19442
12033020170001,12212060580000,19442
12212060580001,12281170220000,19442
12281170220001,13021240480000,19442
13021240480001,13083290250000,19442
13083290250001,13132280100000,19442
13132280100001,13172300070000,19442
13172300070001,13222120010000,19442
13222120010001,13264240390000,19442
13264240390001,13314150420000,19442
13314150420001,13363010010000,19442
13363010010001,14072290441012,19442
14072290441013,14172100231005,19442
14172100231006,14201170350000,19442
14201170350001,14281030651003,19442
14281030651004,14293190651001,19442
14293190651002,14322150471015,19442
14322150471016,15034370420000,19442
15034370420001,15124190201001,19442
15124190201002,15222000090000,19442
15222000090001,15354050401001,19442
15354050401002,16051150200000,19442
16051150200001,16094140090000,19442
16094140090001,16153020020000,19442
16153020020001,16204100260000,19442
16204100260001,16264050160000,19442
16264050160001,16323020270000,19442
16323020270001,17032270221124,19442
17032270221125,17052150040000,19442
17052150040001,17082320120000,19442
17082320120001,17093010101154,19442
17093010101155,17102060351302,19442
17102060351303,17151100450000,19442
17151100450001,17172140191119,19442
17172140191120,17213040630000,19442
17213040630001,17223100151206,19442
17223100151207,17322220310000,19442
17322220310001,18043170250000,19442
18043170250001,18201090070000,19442
18201090070001,19014190140000,19442
19014190140001,19113130450000,19442
19113130450001,19172150510000,19442
19172150510001,19242310280000,19442
19242310280001,19342050440000,19442
19342050440001,20043310030000,19442
20043310030001,20113080621047,19442
20113080621048,20182010130000,19442
20182010130001,20232210090000,19442
20232210090001,20292200170000,19442
20292200170001,20351241740000,19442
20351241740001,22291150230000,19442
22291150230001,23232000211262,19442
23232000211263,24051020360000,19442
24051020360001,24121180090000,19442
24121180090001,24181020320000,19442
24181020320001,24312010840000,19442
24312010840001,25042050040000,19442
25042050040001,25103170330000,19442
25103170330001,25191080150000,19442
25191080150001,25284350170000,19442
25284350170001,26083260260000,19442
26083260260001,27131050070000,19442
27131050070001,27264020120000,19442
27264020120001,28043010181001,19442
28043010181002,28171200100000,19442
28171200100001,28314050080000,19442
28314050080001,29081080190000,19442
29081080190001,29173050110000,19442
29173050110001,29312010020000,19442
29312010020001,30293200440000,19442
30293200440001,31162110880000,19442
31162110880001,32051030060000,19441
32051030060001,32231100460000,19441
32231100460001,99999999999999,19441
